Explore_Iteration	MacroPopSize	MicroPopSize	Accuracy_Estimate	AveGenerality	ExpRules	Time(min)
1152	101	220	0.9487847222222222	0.7036363636363633	0.0	0.009211166699727377
2304	206	450	0.9739583333333334	0.6822222222222227	0.4563106796116505	0.03030790090560913
3456	314	695	0.9782986111111112	0.6598561151079158	0.6369426751592356	0.060875332355499266
4608	344	943	0.9756944444444444	0.6939554612937441	0.7354651162790697	0.09611318111419678
5760	375	1000	0.9774305555555556	0.6904000000000005	0.7813333333333333	0.169265349706014
6912	387	1000	0.9809027777777778	0.6873999999999988	0.7932816537467701	0.21423153082529703
8064	434	1000	0.9809027777777778	0.6797999999999995	0.7811059907834101	0.26129196484883627
9216	412	1000	0.9782986111111112	0.7071999999999998	0.7936893203883495	0.30873863299687704
10368	443	1000	0.9774305555555556	0.7221999999999988	0.801354401805869	0.39287273089090985
11520	461	1000	0.9765625	0.7166	0.8373101952277657	0.4466373443603516
12672	484	1000	0.9774305555555556	0.7171999999999997	0.8119834710743802	0.5039314309755961
13824	484	1000	0.9765625	0.718199999999999	0.8429752066115702	0.5608863313992818
14976	504	1000	0.9774305555555556	0.725599999999999	0.7996031746031746	0.6204493641853333
16128	520	1000	0.9774305555555556	0.730799999999998	0.8346153846153846	0.6841673453648885
17280	528	1000	0.9765625	0.7331999999999981	0.8465909090909091	0.7495275298754375
18432	554	1000	0.9774305555555556	0.7265999999999979	0.8339350180505415	0.8187727133433024
19584	565	1000	0.9774305555555556	0.7279999999999979	0.8460176991150442	0.8893757144610087
20736	574	1000	0.9774305555555556	0.7279999999999981	0.8658536585365854	1.0079185326894124
21888	572	1000	0.9782986111111112	0.7271999999999978	0.8548951048951049	1.0794324119885763
23040	576	1000	0.9782986111111112	0.7229999999999972	0.8454861111111112	1.152799697717031
24192	591	1000	0.9791666666666666	0.7247999999999971	0.8510998307952623	1.2282169818878175
25344	592	1000	0.9817708333333334	0.7227999999999966	0.8496621621621622	1.3051643133163453
26496	586	1000	0.9809027777777778	0.7217999999999963	0.8583617747440273	1.3817064841588338
27648	602	1000	0.9809027777777778	0.7271999999999968	0.8637873754152824	1.4582880139350891
28800	598	1000	0.9809027777777778	0.7309999999999973	0.862876254180602	1.5352019945780435
29952	604	1000	0.9817708333333334	0.7275999999999971	0.8543046357615894	1.6122883478800456
31104	614	1000	0.9817708333333334	0.732399999999997	0.8485342019543974	1.6918919165929158
32256	602	1000	0.9817708333333334	0.7277999999999973	0.8820598006644518	1.7699428836504618
33408	594	1000	0.9817708333333334	0.7241999999999972	0.867003367003367	1.8453532139460245
34560	590	1000	0.9817708333333334	0.7239999999999972	0.8593220338983051	1.919076915582021
35712	606	1000	0.9826388888888888	0.7267999999999967	0.8465346534653465	1.9945263663927715
36864	607	1000	0.9835069444444444	0.7317999999999969	0.8467874794069192	2.07260506550471
38016	615	1000	0.9835069444444444	0.7321999999999966	0.8552845528455284	2.149660114447276
39168	615	1000	0.9817708333333334	0.7305999999999974	0.8715447154471545	2.2279423157374065
40320	610	1000	0.9817708333333334	0.7317999999999965	0.8622950819672132	2.3050287485122682
41472	616	1000	0.9817708333333334	0.7305999999999971	0.8733766233766234	2.3782877127329507
42624	615	1000	0.9826388888888888	0.7287999999999971	0.8536585365853658	2.4504935145378113
43776	619	1000	0.984375	0.730199999999996	0.8594507269789984	2.5268903652826946
44928	622	1000	0.9835069444444444	0.7313999999999962	0.8729903536977492	2.6031460801760358
46080	630	1000	0.984375	0.7343999999999951	0.8698412698412699	2.6802743792533876
47232	617	1000	0.9861111111111112	0.7333999999999957	0.8606158833063209	2.7580557664235434
48384	613	1000	0.984375	0.7413999999999963	0.8564437194127243	2.834066613515218
49536	616	1000	0.9800347222222222	0.7423999999999965	0.8636363636363636	2.9098625143369037
50688	607	1000	0.9817708333333334	0.7447999999999958	0.8698517298187809	2.9823700308799745
51840	623	1000	0.9800347222222222	0.7443999999999962	0.8667736757624398	3.0571826815605165
52992	641	1000	0.9817708333333334	0.7413999999999961	0.8549141965678627	3.1339066505432127
54144	631	1000	0.9826388888888888	0.7413999999999966	0.8827258320126783	3.212434180577596
55296	631	1000	0.9800347222222222	0.7443999999999964	0.8748019017432647	3.2890037178993223
56448	620	1000	0.9809027777777778	0.7421999999999961	0.8935483870967742	3.3655798991521197
57600	631	1000	0.9791666666666666	0.7423999999999958	0.8827258320126783	3.442732512950897
58752	610	1000	0.9809027777777778	0.749799999999996	0.8803278688524591	3.521107081572215
59904	630	1000	0.9782986111111112	0.7477999999999952	0.8698412698412699	3.6003063281377155
61056	634	1000	0.9800347222222222	0.7479999999999951	0.8753943217665615	3.68226478099823
62208	640	1000	0.9809027777777778	0.7461999999999944	0.8875	3.762717429796855
63360	638	1000	0.9800347222222222	0.7455999999999952	0.8949843260188087	3.842273251215617
64512	640	1000	0.9809027777777778	0.7451999999999961	0.8859375	3.9211052974065144
65664	638	1000	0.9800347222222222	0.7435999999999956	0.8887147335423198	3.998629029591878
66816	651	1000	0.9774305555555556	0.7439999999999961	0.8771121351766513	4.077983530362447
67968	659	1000	0.9791666666666666	0.7475999999999949	0.8968133535660091	4.159893266359965
69120	667	1000	0.9765625	0.7493999999999954	0.881559220389805	4.24173158009847
70272	664	1000	0.9800347222222222	0.7465999999999957	0.8900602409638554	4.324056231975556
71424	671	1000	0.9809027777777778	0.7461999999999953	0.8763040238450075	4.405629714330037
72576	673	1000	0.984375	0.7457999999999951	0.8989598811292719	4.488092982769013
73728	659	1000	0.9826388888888888	0.7437999999999942	0.8983308042488619	4.569188714027405
74880	662	1000	0.9835069444444444	0.741599999999995	0.8957703927492447	4.651304884751638
76032	661	1000	0.9835069444444444	0.7433999999999945	0.9062027231467473	4.7323136806488035
77184	665	1000	0.9826388888888888	0.7391999999999948	0.8992481203007519	4.81227734486262
78336	653	1000	0.9800347222222222	0.7395999999999952	0.8989280245022971	4.8907294273376465
79488	670	1000	0.9800347222222222	0.7377999999999957	0.8985074626865671	4.969585931301117
80640	671	1000	0.9800347222222222	0.7381999999999964	0.8941877794336811	5.050335915883382
81792	675	1000	0.9800347222222222	0.7361999999999971	0.9318518518518518	5.131413380304973
82944	682	1000	0.9800347222222222	0.7343999999999957	0.9046920821114369	5.214237650235494
84096	679	1000	0.9791666666666666	0.7337999999999956	0.9086892488954345	5.29718478123347
85248	684	1000	0.9791666666666666	0.735999999999995	0.8976608187134503	5.378920698165894
86400	690	1000	0.9791666666666666	0.7335999999999949	0.9101449275362319	5.462147565682729
87552	692	1000	0.9791666666666666	0.7337999999999956	0.9234104046242775	5.545858963330587
88704	703	1000	0.9800347222222222	0.7299999999999954	0.9217638691322901	5.632591863473256
89856	699	1000	0.9782986111111112	0.7343999999999946	0.9198855507868383	5.719098484516143
91008	689	1000	0.9774305555555556	0.7365999999999948	0.9100145137880987	5.803855431079865
92160	698	1000	0.9765625	0.7329999999999951	0.9183381088825215	5.8842874964078264
93312	693	1000	0.9748263888888888	0.7331999999999951	0.9177489177489178	5.967222062746684
94464	695	1000	0.9748263888888888	0.7363999999999957	0.9223021582733812	6.050071215629577
95616	709	1000	0.9730902777777778	0.7347999999999958	0.921015514809591	6.134194397926331
96768	706	1000	0.9722222222222222	0.7361999999999956	0.943342776203966	6.218227382500967
97920	713	1000	0.9782986111111112	0.7357999999999958	0.9284712482468443	6.302847329775492
99072	714	1000	0.9791666666666666	0.7355999999999956	0.927170868347339	6.388159199555715
