Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[2]	[[617.47, 1160.53]]	1	1.0	1.0	12	229.1981072967096	9969	37	0.2	28810.91728197043	225	225	27	27	1
[2, 3]	[[617.47, 985.717965749764], '21']	1	1.0	1.0	4	259.03084317537673	9969	121	0.4	1036.123372701507	94	94	11	11	1
[3]	['21']	1	0.05413533834586466	0.05413533834586466	1	328.2746235570658	9969	121	0.2	5149.74584485149	180	3325	21	387	1
[3, 1]	['21', '2']	0	0.9461259079903148	0.9461259079903148	8	328.2746235570658	9994	157	0.4	2556.4327944633224	3126	3304	366	387	1
[2]	[[-52.18000000000001, 620.1800000000001]]	0	0.9692612274669168	0.9692612274669168	1	317.2724788387927	9994	157	0.2	312.95458630002656	9302	9597	1089	1123	1
[2, 3, 4]	[[6.585000000000008, 407.41499999999996], '23', '1']	1	0.10240963855421686	0.10240963855421686	1	318.37834703656057	9971	168	0.6	318.37834703656057	68	664	8	77	1
[1, 4]	['2', '1']	0	0.882172131147541	0.882172131147541	3	302.2344823505229	9916	172	0.4	915.3491360180763	1722	1952	201	228	1
[3]	['22']	0	0.9447360296387775	0.9447360296387775	9	296.6435976311562	9964	191	0.2	2743.363091688134	3060	3239	360	381	1
[1, 2]	['2', [594.52, 134.3]]	1	0.1	1.0	1	3.0	226	226	0.4	3.0	0	0	0	0	1
[2]	[[15.515000000000015, 390.485]]	0	0.9773622047244095	0.9773622047244095	10	326.9921082223751	9994	240	0.2	3222.932329647829	8937	9144	1055	1079	1
[3, 1]	['22', '2']	0	0.9454887218045113	0.9454887218045113	2	296.6435976311562	9964	343	0.4	609.6362425973631	3018	3192	360	381	1
[3]	['21']	0	0.9459291485394655	0.9459291485394655	10	328.2746235570658	9994	395	0.2	3195.540993079153	3044	3218	366	387	1
[1]	['2']	0	0.945088213801023	0.945088213801023	11	317.237252397613	9994	420	0.2	34961.807943203225	9053	9579	1089	1152	1
[3]	['23']	0	0.9443045940843298	0.9443045940843298	10	311.2549669285304	9930	470	0.2	3085.68708660663	3001	3178	363	384	1
[2]	[[81.58500000000001, 482.41499999999996]]	0	0.9722877358490566	0.9722877358490566	1	317.1161255643309	9994	492	0.2	312.477433973178	8245	8480	999	1027	1
[2, 3, 4, 1]	[[-124.30000000000001, 407.41499999999996], '23', '2', '2']	1	0.125	0.125	1	327.5636557356193	9943	513	0.8	327.5636557356193	74	592	9	72	1
[0]	['4']	0	0.9454660748256183	0.9454660748256183	9	324.619120827165	9964	535	0.2	2848.498260362512	2982	3154	363	384	1
[4, 3]	['2', '21']	1	0.11707317073170732	0.11707317073170732	1	325.35827708444697	9754	538	0.4	325.35827708444697	72	615	9	75	1
[2]	[[94.935, 625.065]]	0	0.9649439826526924	0.9649439826526924	1	317.1518501028497	9994	561	0.2	312.58645661270054	8010	8301	978	1013	1
[3, 2]	['23', [237.655, 664.345]]	1	0.2074468085106383	0.2074468085106383	1	298.946342548866	9993	572	0.4	298.946342548866	117	564	14	69	1
[4]	['1']	1	0.1195069667738478	0.1195069667738478	2	302.2344823505229	9971	572	0.2	8905.332184946741	223	1866	27	228	1
[2, 3]	[[362.7158217580543, 625.065], '21']	0	0.8452380952380952	0.8452380952380952	1	305.35071791143247	9614	602	0.4	305.35071791143247	355	420	44	52	1
[2]	[[6.050000000000011, 393.95]]	0	0.9776542649727767	0.9776542649727767	5	326.9921082223751	9994	664	0.2	1611.4661648239146	8619	8816	1064	1088	1
[0]	['6']	0	0.9449452672247264	0.9449452672247264	8	320.6212457978619	9994	687	0.2	2564.969966382895	2935	3106	363	384	1
[4]	['1']	0	0.8803046789989118	0.8803046789989118	9	302.2344823505229	9916	728	0.2	2746.0474080542285	1618	1838	201	228	1
[2]	[[-63.22500000000002, 777.225]]	0	0.9644444444444444	0.9644444444444444	1	317.2724788387927	9994	817	0.2	312.95458630002656	8680	9000	1089	1129	1
[3, 4]	['23', '2']	1	0.1588628762541806	0.1588628762541806	1	313.36240913737686	9993	826	0.4	313.36240913737686	95	598	12	75	1
[4]	['0']	0	0.9738846572361263	0.9738846572361263	12	329.400951201176	9994	841	0.2	42539.77187386153	1790	1838	225	231	1
[3, 4, 1, 2]	['23', '2', '2', [-124.30000000000001, 500.435]]	1	0.1465076660988075	0.1465076660988075	1	314.41291559639365	9993	842	0.8	314.41291559639365	86	587	11	74	1
[2]	[[-124.30000000000001, 330.32]]	0	0.977112918792224	0.977112918792224	10	325.9365256892978	9983	862	0.2	3197.161271711372	7087	7253	893	914	1
[2]	[[734.47, 1277.53]]	1	1.0	1.0	10	217.60075543476538	9969	898	0.2	2176.0075543476537	173	173	22	22	1
[2]	[[-124.30000000000001, 811.9449999999999]]	0	0.9634406190422788	0.9634406190422788	1	317.2724788387927	9994	909	0.2	312.95458630002656	8591	8917	1089	1130	1
[2]	[[-114.22500000000002, 726.225]]	0	0.9641966915930206	0.9641966915930206	1	317.2724788387927	9994	994	0.2	312.95458630002656	8510	8826	1089	1129	1
[1, 4]	['2', '1']	1	0.11814109742441209	0.11814109742441209	1	302.2344823505229	9971	996	0.4	305.11637867269206	211	1786	27	228	1
[2]	[[103.07499999999999, 684.925]]	0	0.959545043298436	0.959545043298436	3	317.1518597598118	9994	1084	0.2	937.7594582502308	7424	7737	960	1000	1
[4]	['2']	1	0.1318619128466327	0.1318619128466327	1	312.61230528726094	9993	1110	0.2	312.61230528726094	233	1767	30	228	1
[2]	[[-124.30000000000001, 748.875]]	0	0.9640642939150402	0.9640642939150402	1	317.2724788387927	9994	1113	0.2	312.95458630002656	8397	8710	1089	1129	1
[2]	[[933.98, 1296.02]]	1	1.0	1.0	7	188.36832910011339	9967	1150	0.2	1318.5783037007936	91	91	12	12	1
[2]	[[-80.67000000000002, 410.67]]	0	0.9778750591575959	0.9778750591575959	3	326.9921082223751	9994	1157	0.2	966.8796988943488	8265	8452	1077	1101	1
[2]	[[104.19, 543.81]]	0	0.9711220029142933	0.9711220029142933	1	317.1518597742704	9994	1178	0.2	312.5864861275342	7331	7549	958	986	1
[2, 0]	[[764.5162923604619, 1363.555], '5']	1	1.0	1.0	1	211.5893870015839	9735	1208	0.4	211.5893870015839	45	45	6	6	1
[4]	['2']	0	0.8689655172413793	0.8689655172413793	10	312.61230528726094	9983	1233	0.2	31404.15358931629	1512	1740	198	228	1
[2, 1, 4]	[[617.47, 985.717965749764], '2', '2']	1	1.0	1.0	1	249.00413581988693	9602	1273	0.6	249.00413581988693	45	45	6	6	1
