Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,AvgSpeed,Date,Hour,Day,Week
01/11/2012 00:00,1083,1,NB_NS,1,North,50,17711,01/11/2012,0,Thursday,Weekdays
01/11/2012 00:00,1083,2,NB_MID,1,North,94,18227,01/11/2012,0,Thursday,Weekdays
01/11/2012 00:00,1083,3,NB_OS,1,North,26,18526,01/11/2012,0,Thursday,Weekdays
01/11/2012 00:00,1083,4,SB_OS,2,South,45,19518,01/11/2012,0,Thursday,Weekdays
01/11/2012 00:00,1083,5,SB_MID,2,South,102,18382,01/11/2012,0,Thursday,Weekdays
01/11/2012 00:00,1083,6,SB_NS,2,South,88,17153,01/11/2012,0,Thursday,Weekdays
01/11/2012 01:00,1083,1,NB_NS,1,North,39,18234,01/11/2012,1,Thursday,Weekdays
01/11/2012 01:00,1083,2,NB_MID,1,North,56,18289,01/11/2012,1,Thursday,Weekdays
01/11/2012 01:00,1083,3,NB_OS,1,North,13,19530,01/11/2012,1,Thursday,Weekdays
01/11/2012 01:00,1083,4,SB_OS,2,South,16,18576,01/11/2012,1,Thursday,Weekdays
01/11/2012 01:00,1083,5,SB_MID,2,South,58,18702,01/11/2012,1,Thursday,Weekdays
01/11/2012 01:00,1083,6,SB_NS,2,South,61,17450,01/11/2012,1,Thursday,Weekdays
01/11/2012 02:00,1083,1,NB_NS,1,North,35,17143,01/11/2012,2,Thursday,Weekdays
01/11/2012 02:00,1083,2,NB_MID,1,North,59,18588,01/11/2012,2,Thursday,Weekdays
01/11/2012 02:00,1083,3,NB_OS,1,North,6,16389,01/11/2012,2,Thursday,Weekdays
01/11/2012 02:00,1083,4,SB_OS,2,South,14,18294,01/11/2012,2,Thursday,Weekdays
01/11/2012 02:00,1083,5,SB_MID,2,South,52,18830,01/11/2012,2,Thursday,Weekdays
01/11/2012 02:00,1083,6,SB_NS,2,South,54,18287,01/11/2012,2,Thursday,Weekdays
01/11/2012 03:00,1083,1,NB_NS,1,North,26,17564,01/11/2012,3,Thursday,Weekdays
01/11/2012 03:00,1083,2,NB_MID,1,North,49,18753,01/11/2012,3,Thursday,Weekdays
01/11/2012 03:00,1083,3,NB_OS,1,North,13,19081,01/11/2012,3,Thursday,Weekdays
01/11/2012 03:00,1083,4,SB_OS,2,South,22,19053,01/11/2012,3,Thursday,Weekdays
01/11/2012 03:00,1083,5,SB_MID,2,South,59,19845,01/11/2012,3,Thursday,Weekdays
01/11/2012 03:00,1083,6,SB_NS,2,South,45,18056,01/11/2012,3,Thursday,Weekdays
01/11/2012 04:00,1083,1,NB_NS,1,North,51,17424,01/11/2012,4,Thursday,Weekdays
01/11/2012 04:00,1083,2,NB_MID,1,North,58,18309,01/11/2012,4,Thursday,Weekdays
