LaneNumber	LaneDirection	Volume	Hour	DayNumber	Class
4	2	220	21	3	0
5	2	313	21	3	0
6	2	317	21	3	0
4	2	128	22	3	0
5	2	270	22	3	0
6	2	286	22	3	0
4	2	111	23	3	0
5	2	216	23	3	0
6	2	269	23	3	0
4	2	185	21	4	0
5	2	327	21	4	0
6	2	322	21	4	0
4	2	148	22	4	0
5	2	298	22	4	0
6	2	280	22	4	0
4	2	101	23	4	0
5	2	274	23	4	0
6	2	205	23	4	0
4	2	186	21	1	0
5	2	324	21	1	0
6	2	307	21	1	0
4	2	272	22	1	0
5	2	416	22	1	0
6	2	404	22	1	0
4	2	94	23	1	0
5	2	192	23	1	0
6	2	227	23	1	0
4	2	177	21	2	0
5	2	291	21	2	0
6	2	287	21	2	0
4	2	165	22	2	0
5	2	258	22	2	0
6	2	278	22	2	0
4	2	69	23	2	0
5	2	122	23	2	0
6	2	163	23	2	0
4	2	262	21	3	0
5	2	400	21	3	0
6	2	403	21	3	0
4	2	163	22	3	0
5	2	298	22	3	0
6	2	304	22	3	0
4	2	88	23	3	0
5	2	179	23	3	0
6	2	174	23	3	0
4	2	188	21	4	0
5	2	313	21	4	0
6	2	304	21	4	0
4	2	163	22	4	0
5	2	281	22	4	0
6	2	295	22	4	0
4	2	113	23	4	0
5	2	231	23	4	0
6	2	249	23	4	0
4	2	160	21	0	0
5	2	282	21	0	0
6	2	284	21	0	0
4	2	117	22	0	0
5	2	227	22	0	0
6	2	246	22	0	0
4	2	56	23	0	0
5	2	120	23	0	0
6	2	158	23	0	0
4	2	192	21	1	0
5	2	306	21	1	0
6	2	344	21	1	0
4	2	170	22	1	0
5	2	291	22	1	0
6	2	390	22	1	0
4	2	65	23	1	0
5	2	133	23	1	0
6	2	149	23	1	0
4	2	218	21	2	0
5	2	293	21	2	0
6	2	302	21	2	0
4	2	148	22	2	0
5	2	299	22	2	0
6	2	329	22	2	0
4	2	70	23	2	0
5	2	135	23	2	0
6	2	148	23	2	0
4	2	279	21	3	0
5	2	376	21	3	0
6	2	390	21	3	0
4	2	251	22	3	0
5	2	380	22	3	0
6	2	420	22	3	0
4	2	90	23	3	0
5	2	175	23	3	0
6	2	200	23	3	0
4	2	174	21	4	0
5	2	332	21	4	0
6	2	312	21	4	0
4	2	199	22	4	0
5	2	354	22	4	0
6	2	389	22	4	0
4	2	112	23	4	0
5	2	243	23	4	0
6	2	198	23	4	0
4	2	152	21	0	0
5	2	276	21	0	0
6	2	285	21	0	0
4	2	135	22	0	0
5	2	212	22	0	0
6	2	221	22	0	0
4	2	46	23	0	0
5	2	113	23	0	0
6	2	94	23	0	0
4	2	192	21	1	0
5	2	286	21	1	0
6	2	313	21	1	0
4	2	156	22	1	0
5	2	279	22	1	0
6	2	299	22	1	0
4	2	58	23	1	0
5	2	115	23	1	0
6	2	134	23	1	0
4	2	225	21	2	0
5	2	339	21	2	0
6	2	310	21	2	0
4	2	242	22	2	0
5	2	392	22	2	0
6	2	392	22	2	0
4	2	67	23	2	0
5	2	143	23	2	0
6	2	153	23	2	0
4	2	200	21	3	0
5	2	366	21	3	0
6	2	327	21	3	0
4	2	145	22	3	0
5	2	291	22	3	0
6	2	306	22	3	0
4	2	84	23	3	0
5	2	154	23	3	0
6	2	155	23	3	0
4	2	222	21	4	0
5	2	336	21	4	0
6	2	324	21	4	0
4	2	206	22	4	0
5	2	335	22	4	0
6	2	338	22	4	0
4	2	109	23	4	0
5	2	258	23	4	0
6	2	226	23	4	0
4	2	115	21	0	0
5	2	163	21	0	0
6	2	152	21	0	0
4	2	79	22	0	0
5	2	114	22	0	0
6	2	144	22	0	0
4	2	36	23	0	0
5	2	84	23	0	0
6	2	96	23	0	0
4	2	28	23	1	0
5	2	29	23	1	0
6	2	33	23	1	0
4	2	381	21	2	1
5	2	449	21	2	1
6	2	562	21	2	1
4	2	1298	22	2	1
5	2	1020	22	2	1
6	2	1189	22	2	1
4	2	314	23	2	1
5	2	435	23	2	1
6	2	572	23	2	1
4	2	224	21	3	0
5	2	350	21	3	0
6	2	356	21	3	0
4	2	166	22	3	0
5	2	300	22	3	0
6	2	311	22	3	0
4	2	105	23	3	0
5	2	206	23	3	0
6	2	246	23	3	0
4	2	212	21	4	0
5	2	350	21	4	0
6	2	332	21	4	0
4	2	167	22	4	0
5	2	301	22	4	0
6	2	323	22	4	0
4	2	116	23	4	0
5	2	280	23	4	0
6	2	214	23	4	0
4	2	171	21	0	0
5	2	294	21	0	0
6	2	313	21	0	0
4	2	52	23	0	0
5	2	107	23	0	0
6	2	102	23	0	0
4	2	119	23	2	1
5	2	249	23	2	1
6	2	273	23	2	1
4	2	204	21	3	0
5	2	358	21	3	0
6	2	378	21	3	0
4	2	179	22	3	0
5	2	331	22	3	0
6	2	347	22	3	0
4	2	87	23	3	0
5	2	195	23	3	0
6	2	221	23	3	0
4	2	141	23	4	0
5	2	285	23	4	0
6	2	284	23	4	0
4	2	199	21	0	0
5	2	299	21	0	0
6	2	304	21	0	0
4	2	150	22	0	0
5	2	255	22	0	0
6	2	285	22	0	0
4	2	67	23	0	0
5	2	139	23	0	0
6	2	148	23	0	0
4	2	58	21	1	0
5	2	79	21	1	0
6	2	87	21	1	0
4	2	31	22	1	0
5	2	54	22	1	0
6	2	56	22	1	0
4	2	9	23	1	0
5	2	20	23	1	0
6	2	31	23	1	0
4	2	12	21	2	0
