LaneNumber	LaneDirection	Volume	Hour	DayNumber	Class
1	1	230	21	3	0
2	1	232	21	3	0
3	1	178	21	3	0
4	2	220	21	3	0
5	2	313	21	3	0
6	2	317	21	3	0
1	1	184	22	3	0
2	1	234	22	3	0
3	1	137	22	3	0
4	2	128	22	3	0
5	2	270	22	3	0
6	2	286	22	3	0
1	1	98	23	3	0
2	1	166	23	3	0
3	1	65	23	3	0
4	2	111	23	3	0
5	2	216	23	3	0
6	2	269	23	3	0
1	1	247	21	4	0
2	1	289	21	4	0
3	1	204	21	4	0
4	2	185	21	4	0
5	2	327	21	4	0
6	2	322	21	4	0
1	1	176	22	4	0
2	1	285	22	4	0
3	1	173	22	4	0
4	2	148	22	4	0
5	2	298	22	4	0
6	2	280	22	4	0
1	1	155	23	4	0
2	1	209	23	4	0
3	1	110	23	4	0
4	2	101	23	4	0
5	2	274	23	4	0
6	2	205	23	4	0
1	1	185	21	1	0
2	1	252	21	1	0
3	1	179	21	1	0
4	2	186	21	1	0
5	2	324	21	1	0
6	2	307	21	1	0
1	1	169	22	1	0
2	1	202	22	1	0
3	1	133	22	1	0
4	2	272	22	1	0
5	2	416	22	1	0
6	2	404	22	1	0
1	1	93	23	1	0
2	1	126	23	1	0
3	1	56	23	1	0
4	2	94	23	1	0
5	2	192	23	1	0
6	2	227	23	1	0
1	1	215	21	2	0
2	1	270	21	2	0
3	1	181	21	2	0
4	2	177	21	2	0
5	2	291	21	2	0
6	2	287	21	2	0
1	1	204	22	2	0
2	1	194	22	2	0
3	1	146	22	2	0
4	2	165	22	2	0
5	2	258	22	2	0
6	2	278	22	2	0
1	1	103	23	2	0
2	1	129	23	2	0
3	1	75	23	2	0
4	2	69	23	2	0
5	2	122	23	2	0
6	2	163	23	2	0
1	1	258	21	3	0
2	1	290	21	3	0
3	1	195	21	3	0
4	2	262	21	3	0
5	2	400	21	3	0
6	2	403	21	3	0
1	1	182	22	3	0
2	1	215	22	3	0
3	1	132	22	3	0
4	2	163	22	3	0
5	2	298	22	3	0
6	2	304	22	3	0
1	1	102	23	3	0
2	1	165	23	3	0
3	1	80	23	3	0
4	2	88	23	3	0
5	2	179	23	3	0
6	2	174	23	3	0
1	1	224	21	4	0
2	1	244	21	4	0
3	1	170	21	4	0
4	2	188	21	4	0
5	2	313	21	4	0
6	2	304	21	4	0
1	1	207	22	4	0
2	1	217	22	4	0
3	1	127	22	4	0
4	2	163	22	4	0
5	2	281	22	4	0
6	2	295	22	4	0
1	1	134	23	4	0
2	1	200	23	4	0
3	1	92	23	4	0
4	2	113	23	4	0
5	2	231	23	4	0
6	2	249	23	4	0
1	1	225	21	0	0
2	1	229	21	0	0
3	1	172	21	0	0
4	2	160	21	0	0
5	2	282	21	0	0
6	2	284	21	0	0
1	1	142	22	0	0
2	1	157	22	0	0
3	1	93	22	0	0
4	2	117	22	0	0
5	2	227	22	0	0
6	2	246	22	0	0
1	1	77	23	0	0
2	1	129	23	0	0
3	1	62	23	0	0
4	2	56	23	0	0
5	2	120	23	0	0
6	2	158	23	0	0
1	1	224	21	1	0
2	1	254	21	1	0
3	1	162	21	1	0
4	2	192	21	1	0
5	2	306	21	1	0
6	2	344	21	1	0
1	1	147	22	1	0
2	1	151	22	1	0
3	1	113	22	1	0
4	2	170	22	1	0
5	2	291	22	1	0
6	2	390	22	1	0
1	1	84	23	1	0
2	1	123	23	1	0
3	1	64	23	1	0
4	2	65	23	1	0
5	2	133	23	1	0
6	2	149	23	1	0
1	1	257	21	2	0
2	1	269	21	2	0
3	1	230	21	2	0
4	2	218	21	2	0
5	2	293	21	2	0
6	2	302	21	2	0
1	1	165	22	2	0
2	1	185	22	2	0
3	1	146	22	2	0
4	2	148	22	2	0
5	2	299	22	2	0
6	2	329	22	2	0
1	1	102	23	2	0
2	1	117	23	2	0
3	1	57	23	2	0
4	2	70	23	2	0
5	2	135	23	2	0
6	2	148	23	2	0
1	1	233	21	3	0
2	1	254	21	3	0
3	1	203	21	3	0
4	2	279	21	3	0
5	2	376	21	3	0
6	2	390	21	3	0
1	1	202	22	3	0
2	1	191	22	3	0
3	1	137	22	3	0
4	2	251	22	3	0
5	2	380	22	3	0
6	2	420	22	3	0
1	1	116	23	3	0
2	1	153	23	3	0
3	1	65	23	3	0
4	2	90	23	3	0
5	2	175	23	3	0
6	2	200	23	3	0
1	1	226	21	4	0
2	1	273	21	4	0
3	1	197	21	4	0
4	2	174	21	4	0
5	2	332	21	4	0
6	2	312	21	4	0
1	1	204	22	4	0
2	1	225	22	4	0
3	1	124	22	4	0
4	2	199	22	4	0
5	2	354	22	4	0
6	2	389	22	4	0
1	1	138	23	4	0
2	1	195	23	4	0
3	1	104	23	4	0
4	2	112	23	4	0
5	2	243	23	4	0
6	2	198	23	4	0
1	1	214	21	0	0
2	1	226	21	0	0
3	1	163	21	0	0
4	2	152	21	0	0
5	2	276	21	0	0
6	2	285	21	0	0
1	1	146	22	0	0
2	1	149	22	0	0
3	1	94	22	0	0
4	2	135	22	0	0
5	2	212	22	0	0
6	2	221	22	0	0
1	1	67	23	0	0
2	1	96	23	0	0
3	1	43	23	0	0
4	2	46	23	0	0
5	2	113	23	0	0
6	2	94	23	0	0
1	1	229	21	1	0
2	1	225	21	1	0
3	1	179	21	1	0
4	2	192	21	1	0
5	2	286	21	1	0
6	2	313	21	1	0
1	1	147	22	1	0
2	1	178	22	1	0
3	1	121	22	1	0
4	2	156	22	1	0
5	2	279	22	1	0
6	2	299	22	1	0
1	1	77	23	1	0
2	1	116	23	1	0
3	1	50	23	1	0
4	2	58	23	1	0
5	2	115	23	1	0
6	2	134	23	1	0
1	1	239	21	2	0
2	1	279	21	2	0
3	1	202	21	2	0
4	2	225	21	2	0
5	2	339	21	2	0
6	2	310	21	2	0
1	1	168	22	2	0
2	1	175	22	2	0
3	1	122	22	2	0
4	2	242	22	2	0
5	2	392	22	2	0
6	2	392	22	2	0
1	1	79	23	2	0
2	1	124	23	2	0
3	1	63	23	2	0
4	2	67	23	2	0
5	2	143	23	2	0
6	2	153	23	2	0
1	1	243	21	3	0
2	1	277	21	3	0
3	1	189	21	3	0
4	2	200	21	3	0
5	2	366	21	3	0
6	2	327	21	3	0
1	1	227	22	3	0
2	1	215	22	3	0
3	1	154	22	3	0
4	2	145	22	3	0
5	2	291	22	3	0
6	2	306	22	3	0
1	1	107	23	3	0
2	1	151	23	3	0
3	1	79	23	3	0
4	2	84	23	3	0
5	2	154	23	3	0
6	2	155	23	3	0
1	1	203	21	4	0
2	1	327	21	4	0
3	1	206	21	4	0
4	2	222	21	4	0
5	2	336	21	4	0
6	2	324	21	4	0
1	1	212	22	4	0
2	1	244	22	4	0
3	1	150	22	4	0
4	2	206	22	4	0
5	2	335	22	4	0
6	2	338	22	4	0
1	1	138	23	4	0
2	1	239	23	4	0
3	1	111	23	4	0
4	2	109	23	4	0
5	2	258	23	4	0
6	2	226	23	4	0
1	1	142	21	0	0
2	1	169	21	0	0
3	1	97	21	0	0
4	2	115	21	0	0
5	2	163	21	0	0
6	2	152	21	0	0
1	1	98	22	0	0
2	1	107	22	0	0
3	1	44	22	0	0
4	2	79	22	0	0
5	2	114	22	0	0
6	2	144	22	0	0
1	1	64	23	0	0
2	1	99	23	0	0
3	1	26	23	0	0
4	2	36	23	0	0
5	2	84	23	0	0
6	2	96	23	0	0
1	1	22	23	1	0
2	1	12	23	1	0
3	1	11	23	1	0
4	2	28	23	1	0
5	2	29	23	1	0
6	2	33	23	1	0
1	1	243	21	2	0
2	1	332	21	2	0
3	1	238	21	2	0
4	2	381	21	2	1
5	2	449	21	2	1
6	2	562	21	2	1
1	1	196	22	2	0
2	1	204	22	2	0
3	1	180	22	2	0
4	2	1298	22	2	1
5	2	1020	22	2	1
6	2	1189	22	2	1
1	1	105	23	2	0
2	1	190	23	2	0
3	1	96	23	2	0
4	2	314	23	2	1
5	2	435	23	2	1
6	2	572	23	2	1
1	1	230	21	3	0
2	1	269	21	3	0
3	1	210	21	3	0
4	2	224	21	3	0
5	2	350	21	3	0
6	2	356	21	3	0
1	1	156	22	3	0
2	1	226	22	3	0
3	1	148	22	3	0
4	2	166	22	3	0
5	2	300	22	3	0
6	2	311	22	3	0
1	1	93	23	3	0
2	1	166	23	3	0
3	1	78	23	3	0
4	2	105	23	3	0
5	2	206	23	3	0
6	2	246	23	3	0
1	1	218	21	4	0
2	1	308	21	4	0
3	1	209	21	4	0
4	2	212	21	4	0
5	2	350	21	4	0
6	2	332	21	4	0
1	1	178	22	4	0
2	1	235	22	4	0
3	1	164	22	4	0
4	2	167	22	4	0
5	2	301	22	4	0
6	2	323	22	4	0
1	1	158	23	4	0
2	1	252	23	4	0
3	1	138	23	4	0
4	2	116	23	4	0
5	2	280	23	4	0
6	2	214	23	4	0
1	1	228	21	0	0
2	1	258	21	0	0
3	1	191	21	0	0
4	2	171	21	0	0
5	2	294	21	0	0
6	2	313	21	0	0
1	1	79	23	0	0
2	1	94	23	0	0
3	1	40	23	0	0
4	2	52	23	0	0
5	2	107	23	0	0
6	2	102	23	0	0
1	1	110	23	2	0
2	1	159	23	2	0
3	1	71	23	2	0
4	2	119	23	2	1
5	2	249	23	2	1
6	2	273	23	2	1
1	1	238	21	3	0
2	1	295	21	3	0
3	1	220	21	3	0
4	2	204	21	3	0
5	2	358	21	3	0
6	2	378	21	3	0
1	1	201	22	3	0
2	1	240	22	3	0
3	1	144	22	3	0
4	2	179	22	3	0
5	2	331	22	3	0
6	2	347	22	3	0
1	1	120	23	3	0
2	1	159	23	3	0
3	1	90	23	3	0
4	2	87	23	3	0
5	2	195	23	3	0
6	2	221	23	3	0
1	1	158	23	4	0
2	1	245	23	4	0
3	1	134	23	4	0
4	2	141	23	4	0
5	2	285	23	4	0
6	2	284	23	4	0
1	1	212	21	0	0
2	1	280	21	0	0
3	1	156	21	0	0
4	2	199	21	0	0
5	2	299	21	0	0
6	2	304	21	0	0
1	1	156	22	0	0
2	1	177	22	0	0
3	1	120	22	0	0
4	2	150	22	0	0
5	2	255	22	0	0
6	2	285	22	0	0
1	1	84	23	0	0
2	1	145	23	0	0
3	1	66	23	0	0
4	2	67	23	0	0
5	2	139	23	0	0
6	2	148	23	0	0
1	1	59	21	1	0
2	1	71	21	1	0
3	1	50	21	1	0
4	2	58	21	1	0
5	2	79	21	1	0
6	2	87	21	1	0
1	1	34	22	1	0
2	1	34	22	1	0
3	1	23	22	1	0
4	2	31	22	1	0
5	2	54	22	1	0
6	2	56	22	1	0
1	1	20	23	1	0
2	1	25	23	1	0
3	1	13	23	1	0
4	2	9	23	1	0
5	2	20	23	1	0
6	2	31	23	1	0
1	1	14	21	2	0
2	1	26	21	2	0
3	1	15	21	2	0
4	2	12	21	2	0
5	2	25	21	2	0
6	2	31	21	2	0
1	1	22	22	2	0
2	1	28	22	2	0
3	1	12	22	2	0
4	2	20	22	2	0
5	2	31	22	2	0
6	2	26	22	2	0
1	1	40	21	0	0
2	1	48	21	0	0
3	1	35	21	0	0
4	2	43	21	0	0
5	2	40	21	0	0
6	2	48	21	0	0
1	1	140	22	2	0
2	1	168	22	2	0
3	1	124	22	2	0
4	2	90	22	2	0
5	2	158	22	2	0
6	2	163	22	2	0
1	1	182	21	4	0
2	1	214	21	4	0
3	1	157	21	4	0
4	2	142	21	4	0
5	2	239	21	4	0
6	2	227	21	4	0
1	1	160	22	4	0
2	1	218	22	4	0
3	1	150	22	4	0
4	2	126	22	4	0
5	2	258	22	4	0
6	2	288	22	4	0
1	1	120	23	4	0
2	1	169	23	4	0
3	1	71	23	4	0
4	2	100	23	4	0
5	2	181	23	4	0
6	2	168	23	4	0
1	1	43	21	0	0
2	1	93	21	0	0
3	1	45	21	0	0
4	2	37	21	0	0
5	2	65	21	0	0
6	2	64	21	0	0
1	1	9	22	0	0
2	1	17	22	0	0
3	1	5	22	0	0
4	2	5	22	0	0
5	2	15	22	0	0
6	2	11	22	0	0
1	1	200	21	4	0
2	1	283	21	4	0
3	1	184	21	4	0
4	2	193	21	4	0
5	2	271	21	4	0
6	2	313	21	4	0
1	1	184	22	4	0
2	1	273	22	4	0
3	1	176	22	4	0
4	2	166	22	4	0
5	2	293	22	4	0
6	2	333	22	4	0
1	1	168	23	4	0
2	1	217	23	4	0
3	1	103	23	4	0
4	2	137	23	4	0
5	2	270	23	4	0
6	2	254	23	4	0
1	1	218	21	0	0
2	1	233	21	0	0
3	1	159	21	0	0
4	2	170	21	0	0
5	2	267	21	0	0
6	2	271	21	0	0
1	1	163	22	0	0
2	1	176	22	0	0
3	1	109	22	0	0
4	2	108	22	0	0
5	2	209	22	0	0
6	2	203	22	0	0
1	1	63	23	0	0
2	1	95	23	0	0
3	1	43	23	0	0
4	2	58	23	0	0
5	2	117	23	0	0
6	2	167	23	0	0
1	1	221	21	1	0
2	1	270	21	1	0
3	1	200	21	1	0
4	2	246	21	1	0
5	2	323	21	1	0
6	2	335	21	1	0
1	1	200	22	1	0
2	1	198	22	1	0
3	1	117	22	1	0
4	2	267	22	1	0
5	2	408	22	1	0
6	2	440	22	1	0
1	1	81	23	1	0
2	1	132	23	1	0
3	1	48	23	1	0
4	2	71	23	1	0
5	2	140	23	1	0
6	2	198	23	1	0
1	1	265	21	2	0
2	1	268	21	2	0
3	1	209	21	2	0
4	2	229	21	2	0
5	2	295	21	2	0
6	2	337	21	2	0
1	1	174	22	2	0
2	1	190	22	2	0
3	1	125	22	2	0
4	2	171	22	2	0
5	2	282	22	2	0
6	2	288	22	2	0
1	1	77	23	2	0
2	1	140	23	2	0
3	1	58	23	2	0
4	2	73	23	2	0
5	2	142	23	2	0
6	2	166	23	2	0
1	1	236	21	3	0
2	1	271	21	3	0
3	1	191	21	3	0
4	2	219	21	3	0
5	2	289	21	3	0
6	2	321	21	3	0
1	1	165	22	3	0
2	1	222	22	3	0
3	1	152	22	3	0
4	2	182	22	3	0
5	2	316	22	3	0
6	2	356	22	3	0
1	1	101	23	3	0
2	1	147	23	3	0
3	1	73	23	3	0
4	2	92	23	3	0
5	2	164	23	3	0
6	2	187	23	3	0
1	1	219	21	4	0
2	1	322	21	4	0
3	1	186	21	4	0
4	2	231	21	4	0
5	2	326	21	4	0
6	2	334	21	4	0
1	1	201	22	4	0
2	1	272	22	4	0
3	1	152	22	4	0
4	2	169	22	4	0
5	2	304	22	4	0
6	2	344	22	4	0
1	1	146	23	4	0
2	1	204	23	4	0
3	1	100	23	4	0
4	2	131	23	4	0
5	2	231	23	4	0
6	2	239	23	4	0
1	1	225	21	0	0
2	1	243	21	0	0
3	1	177	21	0	0
4	2	148	21	0	0
5	2	238	21	0	0
6	2	297	21	0	0
1	1	146	22	0	0
2	1	159	22	0	0
3	1	92	22	0	0
4	2	102	22	0	0
5	2	225	22	0	0
6	2	244	22	0	0
1	1	76	23	0	0
2	1	100	23	0	0
3	1	42	23	0	0
4	2	79	23	0	0
5	2	150	23	0	0
6	2	162	23	0	0
1	1	236	21	1	0
2	1	242	21	1	0
3	1	186	21	1	0
4	2	220	21	1	0
5	2	315	21	1	0
6	2	308	21	1	0
1	1	161	22	1	0
2	1	192	22	1	0
3	1	119	22	1	0
4	2	195	22	1	0
5	2	246	22	1	0
6	2	352	22	1	0
1	1	98	23	1	0
2	1	110	23	1	0
3	1	60	23	1	0
4	2	65	23	1	0
5	2	137	23	1	0
6	2	151	23	1	0
1	1	239	21	2	0
2	1	292	21	2	0
3	1	207	21	2	0
4	2	239	21	2	0
5	2	302	21	2	0
6	2	333	21	2	0
1	1	164	22	2	0
2	1	199	22	2	0
3	1	138	22	2	0
4	2	182	22	2	0
5	2	291	22	2	0
6	2	347	22	2	0
1	1	96	23	2	0
2	1	116	23	2	0
3	1	70	23	2	0
4	2	65	23	2	0
5	2	165	23	2	0
6	2	184	23	2	0
1	1	262	21	3	0
2	1	267	21	3	0
3	1	194	21	3	0
4	2	238	21	3	0
5	2	281	21	3	0
6	2	333	21	3	0
1	1	176	22	3	0
2	1	221	22	3	0
3	1	141	22	3	0
4	2	157	22	3	0
5	2	271	22	3	0
6	2	351	22	3	0
1	1	82	23	3	0
2	1	141	23	3	0
3	1	80	23	3	0
4	2	104	23	3	0
5	2	223	23	3	0
6	2	234	23	3	0
1	1	233	21	4	0
2	1	285	21	4	0
3	1	156	21	4	0
4	2	212	21	4	0
5	2	323	21	4	0
6	2	326	21	4	0
1	1	174	22	4	0
2	1	283	22	4	0
3	1	163	22	4	0
4	2	185	22	4	0
5	2	296	22	4	0
6	2	411	22	4	0
1	1	129	23	4	0
2	1	228	23	4	0
3	1	129	23	4	0
4	2	123	23	4	0
5	2	254	23	4	0
6	2	243	23	4	0
1	1	204	21	0	0
2	1	254	21	0	0
3	1	165	21	0	0
4	2	250	21	0	0
5	2	355	21	0	0
6	2	341	21	0	0
1	1	133	22	0	0
2	1	171	22	0	0
3	1	116	22	0	0
4	2	123	22	0	0
5	2	175	22	0	0
6	2	202	22	0	0
1	1	76	23	0	0
2	1	110	23	0	0
3	1	53	23	0	0
4	2	47	23	0	0
5	2	95	23	0	0
6	2	120	23	0	0
1	1	214	21	1	0
2	1	259	21	1	0
3	1	195	21	1	0
4	2	196	21	1	0
5	2	342	21	1	0
6	2	327	21	1	0
1	1	152	22	1	0
2	1	186	22	1	0
3	1	116	22	1	0
4	2	158	22	1	0
5	2	244	22	1	0
6	2	277	22	1	0
1	1	96	23	1	0
2	1	109	23	1	0
3	1	61	23	1	0
4	2	50	23	1	0
5	2	118	23	1	0
6	2	130	23	1	0
1	1	221	21	2	0
2	1	270	21	2	0
3	1	205	21	2	0
4	2	205	21	2	0
5	2	320	21	2	0
6	2	342	21	2	0
1	1	174	22	2	0
2	1	179	22	2	0
